시도,연도,복지시설_합계,요양병원_수,복지시설_정규화,요양병원_정규화,인프라_치우침_지수
제주특별자치도,2021,531,9,0.0,0.0127,-0.0127
충청남도,2021,6359,67,0.4974,0.1975,0.2999
충청북도,2021,4548,42,0.3428,0.1178,0.225
강원특별자치도,2022,3893,33,0.2645,0.0909,0.1736
경기도,2022,13182,313,1.0,1.0,0.0
경상남도,2022,8616,127,0.6385,0.3961,0.2423
경상북도,2022,9073,111,0.6746,0.3442,0.3305
광주광역시,2022,1930,60,0.109,0.1786,-0.0695
대구광역시,2022,2112,76,0.1234,0.2305,-0.1071
대전광역시,2022,1238,47,0.0542,0.1364,-0.0821
부산광역시,2022,3055,166,0.1981,0.5227,-0.3246
서울특별시,2022,5385,124,0.3826,0.3864,-0.0038
세종특별자치시,2022,553,5,0.0,0.0,0.0
울산광역시,2022,1103,40,0.0436,0.1136,-0.0701
인천광역시,2022,2321,67,0.14,0.2013,-0.0613
전라남도,2022,9949,82,0.744,0.25,0.494
전북특별자치도,2022,7527,84,0.5522,0.2565,0.2957
제주특별자치도,2022,568,10,0.0012,0.0162,-0.015
충청남도,2022,6547,68,0.4746,0.2045,0.2701
충청북도,2022,4643,40,0.3239,0.1136,0.2102
강원특별자치도,2023,4024,30,0.2597,0.0861,0.1736
경기도,2023,13872,306,1.0,1.0,0.0
경상남도,2023,8894,121,0.6258,0.3874,0.2384
경상북도,2023,9023,108,0.6355,0.3444,0.2911
광주광역시,2023,2080,62,0.1135,0.1921,-0.0785
대구광역시,2023,2494,73,0.1446,0.2285,-0.0838
대전광역시,2023,1334,47,0.0574,0.1424,-0.0849
부산광역시,2023,3237,162,0.2005,0.5232,-0.3227
서울특별시,2023,5751,116,0.3895,0.3709,0.0186
세종특별자치시,2023,570,4,0.0,0.0,0.0
울산광역시,2023,1179,39,0.0458,0.1159,-0.0701
인천광역시,2023,2553,62,0.1491,0.1921,-0.043
전라남도,2023,10058,82,0.7133,0.2583,0.455
전북특별자치도,2023,7664,81,0.5333,0.255,0.2783
제주특별자치도,2023,615,11,0.0034,0.0232,-0.0198
충청남도,2023,6708,68,0.4614,0.2119,0.2495
충청북도,2023,4779,38,0.3164,0.1126,0.2038
