"시점","시군구별(1)",소아청소년과
"2021.2/4","충남",181
"2021.2/4","전북",197
"2021.2/4","전남",164
"2021.2/4","경북",200
"2021.2/4","경남",357
"2021.2/4","제주",73
"2021.3/4","전체",6018
"2021.3/4","서울",1320
"2021.3/4","부산",437
"2021.3/4","대구",346
"2021.3/4","인천",305
"2021.3/4","광주",236
"2021.3/4","대전",212
"2021.3/4","울산",117
"2021.3/4","세종",59
"2021.3/4","경기",1531
"2021.3/4","강원",146
"2021.3/4","충북",148
"2021.3/4","충남",181
"2021.3/4","전북",195
"2021.3/4","전남",164
"2021.3/4","경북",195
"2021.3/4","경남",355
"2021.3/4","제주",71
"2021.4/4","전체",6000
"2021.4/4","서울",1322
"2021.4/4","부산",430
"2021.4/4","대구",344
"2021.4/4","인천",305
"2021.4/4","광주",228
"2021.4/4","대전",210
"2021.4/4","울산",115
"2021.4/4","세종",59
"2021.4/4","경기",1527
"2021.4/4","강원",147
"2021.4/4","충북",146
"2021.4/4","충남",185
"2021.4/4","전북",197
"2021.4/4","전남",162
"2021.4/4","경북",190
"2021.4/4","경남",362
"2021.4/4","제주",71
"2022.1/4","전체",6119
"2022.1/4","서울",1342
"2022.1/4","부산",437
"2022.1/4","대구",352
"2022.1/4","인천",311
"2022.1/4","광주",234
"2022.1/4","대전",209
"2022.1/4","울산",116
"2022.1/4","세종",63
"2022.1/4","경기",1569
"2022.1/4","강원",155
"2022.1/4","충북",146
"2022.1/4","충남",181
"2022.1/4","전북",200
"2022.1/4","전남",163
"2022.1/4","경북",194
"2022.1/4","경남",375
"2022.1/4","제주",72
"2022.2/4","전체",6190
"2022.2/4","서울",1375
"2022.2/4","부산",450
"2022.2/4","대구",355
"2022.2/4","인천",311
"2022.2/4","광주",237
"2022.2/4","대전",215
"2022.2/4","울산",114
"2022.2/4","세종",63
"2022.2/4","경기",1573
"2022.2/4","강원",155
"2022.2/4","충북",149
"2022.2/4","충남",190
"2022.2/4","전북",211
"2022.2/4","전남",156
"2022.2/4","경북",192
"2022.2/4","경남",371
"2022.2/4","제주",73
"2022.3/4","전체",6210
"2022.3/4","서울",1375
"2022.3/4","부산",446
"2022.3/4","대구",357
"2022.3/4","인천",316
"2022.3/4","광주",233
"2022.3/4","대전",216
"2022.3/4","울산",113
"2022.3/4","세종",61
"2022.3/4","경기",1598
"2022.3/4","강원",154
"2022.3/4","충북",150
"2022.3/4","충남",190
"2022.3/4","전북",208
"2022.3/4","전남",156
"2022.3/4","경북",192
"2022.3/4","경남",372
"2022.3/4","제주",73
"2022.4/4","전체",6222
"2022.4/4","서울",1385
"2022.4/4","부산",446
"2022.4/4","대구",353
"2022.4/4","인천",315
"2022.4/4","광주",233
"2022.4/4","대전",206
"2022.4/4","울산",115
"2022.4/4","세종",63
"2022.4/4","경기",1614
"2022.4/4","강원",154
"2022.4/4","충북",148
"2022.4/4","충남",188
"2022.4/4","전북",205
"2022.4/4","전남",154
"2022.4/4","경북",190
"2022.4/4","경남",376
"2022.4/4","제주",77
"2023.1/4","전체",6301
"2023.1/4","서울",1415
"2023.1/4","부산",453
"2023.1/4","대구",349
"2023.1/4","인천",332
"2023.1/4","광주",247
"2023.1/4","대전",221
"2023.1/4","울산",114
"2023.1/4","세종",64
"2023.1/4","경기",1635
"2023.1/4","강원",153
"2023.1/4","충북",150
"2023.1/4","충남",186
"2023.1/4","전북",204
"2023.1/4","전남",150
"2023.1/4","경북",190
"2023.1/4","경남",366
"2023.1/4","제주",72
"2023.2/4","전체",6350
"2023.2/4","서울",1438
"2023.2/4","부산",459
"2023.2/4","대구",352
"2023.2/4","인천",338
"2023.2/4","광주",246
"2023.2/4","대전",215
"2023.2/4","울산",120
"2023.2/4","세종",65
"2023.2/4","경기",1630
"2023.2/4","강원",155
"2023.2/4","충북",149
"2023.2/4","충남",185
