
"시점","시군구별(1)",소아청소년과
"2024.4/4","울산",33
"2024.4/4","세종",27
"2024.4/4","경기",702
"2024.4/4","강원",56
"2024.4/4","충북",56
"2024.4/4","충남",64
"2024.4/4","전북",66
"2024.4/4","전남",25
"2024.4/4","경북",72
"2024.4/4","경남",95
"2024.4/4","제주",35
"2025.1/4","전체",2181
"2025.1/4","서울",455
"2025.1/4","부산",142
"2025.1/4","대구",118
"2025.1/4","인천",144
"2025.1/4","광주",39
"2025.1/4","대전",56
"2025.1/4","울산",32
"2025.1/4","세종",27
"2025.1/4","경기",700
"2025.1/4","강원",56
"2025.1/4","충북",57
"2025.1/4","충남",62
"2025.1/4","전북",66
"2025.1/4","전남",25
"2025.1/4","경북",71
"2025.1/4","경남",96
"2025.1/4","제주",35
"2025.2/4","전체",2181
"2025.2/4","서울",458
"2025.2/4","부산",142
"2025.2/4","대구",119
"2025.2/4","인천",146
"2025.2/4","광주",39
"2025.2/4","대전",57
"2025.2/4","울산",32
"2025.2/4","세종",27
"2025.2/4","경기",697
"2025.2/4","강원",56
"2025.2/4","충북",56
"2025.2/4","충남",63
"2025.2/4","전북",64
"2025.2/4","전남",24
"2025.2/4","경북",71
"2025.2/4","경남",95
"2025.2/4","제주",35
"2025.3/4","전체",2175
"2025.3/4","서울",456
"2025.3/4","부산",140
"2025.3/4","대구",119
"2025.3/4","인천",144
"2025.3/4","광주",40
"2025.3/4","대전",56
"2025.3/4","울산",32
"2025.3/4","세종",26
"2025.3/4","경기",694
"2025.3/4","강원",56
"2025.3/4","충북",56
"2025.3/4","충남",63
"2025.3/4","전북",66
"2025.3/4","전남",24
"2025.3/4","경북",71
"2025.3/4","경남",97
"2025.3/4","제주",35
"2025.4/4","전체",2156
"2025.4/4","서울",448
"2025.4/4","부산",139
"2025.4/4","대구",120
"2025.4/4","인천",142
"2025.4/4","광주",40
"2025.4/4","대전",56
"2025.4/4","울산",32
"2025.4/4","세종",26
"2025.4/4","경기",687
"2025.4/4","강원",56
"2025.4/4","충북",56
"2025.4/4","충남",63
"2025.4/4","전북",64
"2025.4/4","전남",24
"2025.4/4","경북",72
"2025.4/4","경남",97
"2025.4/4","제주",34
