"시점","시도별",소아청소년과
"2019.1/4","강원특별자치도",54
"2019.1/4","충청북도",51
"2019.1/4","충청남도",62
"2019.1/4","전북특별자치도",77
"2019.1/4","전라남도",27
"2019.1/4","경상북도",71
"2019.1/4","경상남도",105
"2019.1/4","제주특별자치도",28
"2019.2/4","계",2224
"2019.2/4","서울특별시",505
"2019.2/4","부산광역시",136
"2019.2/4","대구광역시",112
"2019.2/4","인천광역시",150
"2019.2/4","광주광역시",46
"2019.2/4","대전광역시",63
"2019.2/4","울산광역시",36
"2019.2/4","세종특별자치시",21
"2019.2/4","경기도",681
"2019.2/4","강원특별자치도",54
"2019.2/4","충청북도",51
"2019.2/4","충청남도",62
"2019.2/4","전북특별자치도",76
"2019.2/4","전라남도",27
"2019.2/4","경상북도",71
"2019.2/4","경상남도",104
"2019.2/4","제주특별자치도",29
"2019.3/4","계",2232
"2019.3/4","서울특별시",500
"2019.3/4","부산광역시",135
"2019.3/4","대구광역시",114
"2019.3/4","인천광역시",150
"2019.3/4","광주광역시",47
"2019.3/4","대전광역시",62
"2019.3/4","울산광역시",36
"2019.3/4","세종특별자치시",21
"2019.3/4","경기도",689
"2019.3/4","강원특별자치도",54
"2019.3/4","충청북도",51
"2019.3/4","충청남도",63
"2019.3/4","전북특별자치도",76
"2019.3/4","전라남도",27
"2019.3/4","경상북도",73
"2019.3/4","경상남도",103
"2019.3/4","제주특별자치도",31
"2019.4/4","계",2227
"2019.4/4","서울특별시",501
"2019.4/4","부산광역시",134
"2019.4/4","대구광역시",115
"2019.4/4","인천광역시",149
"2019.4/4","광주광역시",47
"2019.4/4","대전광역시",62
"2019.4/4","울산광역시",36
"2019.4/4","세종특별자치시",21
"2019.4/4","경기도",687
"2019.4/4","강원특별자치도",54
"2019.4/4","충청북도",51
"2019.4/4","충청남도",62
"2019.4/4","전북특별자치도",76
"2019.4/4","전라남도",27
"2019.4/4","경상북도",73
"2019.4/4","경상남도",100
"2019.4/4","제주특별자치도",32
"2020.1/4","계",2212
"2020.1/4","서울특별시",494
"2020.1/4","부산광역시",133
"2020.1/4","대구광역시",117
"2020.1/4","인천광역시",147
"2020.1/4","광주광역시",47
"2020.1/4","대전광역시",62
"2020.1/4","울산광역시",34
"2020.1/4","세종특별자치시",21
"2020.1/4","경기도",686
"2020.1/4","강원특별자치도",57
"2020.1/4","충청북도",51
"2020.1/4","충청남도",62
"2020.1/4","전북특별자치도",72
"2020.1/4","전라남도",26
"2020.1/4","경상북도",72
"2020.1/4","경상남도",99
"2020.1/4","제주특별자치도",32
"2020.2/4","계",2194
"2020.2/4","서울특별시",491
"2020.2/4","부산광역시",129
"2020.2/4","대구광역시",117
"2020.2/4","인천광역시",142
"2020.2/4","광주광역시",46
"2020.2/4","대전광역시",61
"2020.2/4","울산광역시",33
"2020.2/4","세종특별자치시",22
"2020.2/4","경기도",684
"2020.2/4","강원특별자치도",57
"2020.2/4","충청북도",51
"2020.2/4","충청남도",63
"2020.2/4","전북특별자치도",72
"2020.2/4","전라남도",24
"2020.2/4","경상북도",72
"2020.2/4","경상남도",98
"2020.2/4","제주특별자치도",32
"2020.3/4","계",2181
"2020.3/4","서울특별시",486
"2020.3/4","부산광역시",127
"2020.3/4","대구광역시",115
"2020.3/4","인천광역시",140
"2020.3/4","광주광역시",44
"2020.3/4","대전광역시",61
"2020.3/4","울산광역시",33
"2020.3/4","세종특별자치시",22
"2020.3/4","경기도",679
"2020.3/4","강원특별자치도",56
"2020.3/4","충청북도",51
"2020.3/4","충청남도",67
"2020.3/4","전북특별자치도",70
"2020.3/4","전라남도",25
"2020.3/4","경상북도",72
"2020.3/4","경상남도",99
"2020.3/4","제주특별자치도",34
"2020.4/4","계",2158
"2020.4/4","서울특별시",475
"2020.4/4","부산광역시",128
"2020.4/4","대구광역시",112
"2020.4/4","인천광역시",140
"2020.4/4","광주광역시",43
"2020.4/4","대전광역시",59
"2020.4/4","울산광역시",35
"2020.4/4","세종특별자치시",22
"2020.4/4","경기도",672
"2020.4/4","강원특별자치도",56
"2020.4/4","충청북도",51
"2020.4/4","충청남도",67
"2020.4/4","전북특별자치도",68
"2020.4/4","전라남도",25
"2020.4/4","경상북도",73
"2020.4/4","경상남도",98
"2020.4/4","제주특별자치도",34
"2021.1/4","계",2141
"2021.1/4","서울특별시",468
"2021.1/4","부산광역시",132
"2021.1/4","대구광역시",112
"2021.1/4","인천광역시",138
"2021.1/4","광주광역시",44
"2021.1/4","대전광역시",58
"2021.1/4","울산광역시",34
"2021.1/4","세종특별자치시",23
"2021.1/4","경기도",665
"2021.1/4","강원특별자치도",55
"2021.1/4","충청북도",53
"2021.1/4","충청남도",65
"2021.1/4","전북특별자치도",67
"2021.1/4","전라남도",27
"2021.1/4","경상북도",71
"2021.1/4","경상남도",95
"2021.1/4","제주특별자치도",34
"2021.2/4","계",2118
"2021.2/4","서울특별시",458
"2021.2/4","부산광역시",133
"2021.2/4","대구광역시",113
"2021.2/4","인천광역시",136
"2021.2/4","광주광역시",44
"2021.2/4","대전광역시",58
"2021.2/4","울산광역시",34
"2021.2/4","세종특별자치시",22
"2021.2/4","경기도",662
"2021.2/4","강원특별자치도",53
"2021.2/4","충청북도",54
"2021.2/4","충청남도",64
"2021.2/4","전북특별자치도",66
"2021.2/4","전라남도",26
"2021.2/4","경상북도",69
"2021.2/4","경상남도",92
"2021.2/4","제주특별자치도",34
"2021.3/4","계",2119
"2021.3/4","서울특별시",458
"2021.3/4","부산광역시",134
"2021.3/4","대구광역시",113
"2021.3/4","인천광역시",136
"2021.3/4","광주광역시",43
"2021.3/4","대전광역시",59
"2021.3/4","울산광역시",34
"2021.3/4","세종특별자치시",22
"2021.3/4","경기도",660
"2021.3/4","강원특별자치도",55
"2021.3/4","충청북도",54
"2021.3/4","충청남도",64
"2021.3/4","전북특별자치도",66
"2021.3/4","전라남도",26
"2021.3/4","경상북도",70
"2021.3/4","경상남도",91
"2021.3/4","제주특별자치도",34
"2021.4/4","계",2111
"2021.4/4","서울특별시",455
"2021.4/4","부산광역시",132
"2021.4/4","대구광역시",114
"2021.4/4","인천광역시",137
"2021.4/4","광주광역시",42
"2021.4/4","대전광역시",59
"2021.4/4","울산광역시",32
"2021.4/4","세종특별자치시",22
"2021.4/4","경기도",657
"2021.4/4","강원특별자치도",56
"2021.4/4","충청북도",54
"2021.4/4","충청남도",64
"2021.4/4","전북특별자치도",65
"2021.4/4","전라남도",26
"2021.4/4","경상북도",71
"2021.4/4","경상남도",91
"2021.4/4","제주특별자치도",34
"2022.1/4","계",2104
"2022.1/4","서울특별시",452
"2022.1/4","부산광역시",132
"2022.1/4","대구광역시",115
"2022.1/4","인천광역시",138
"2022.1/4","광주광역시",40
"2022.1/4","대전광역시",59
"2022.1/4","울산광역시",32
"2022.1/4","세종특별자치시",22
"2022.1/4","경기도",652
"2022.1/4","강원특별자치도",56
"2022.1/4","충청북도",54
"2022.1/4","충청남도",65
"2022.1/4","전북특별자치도",63
"2022.1/4","전라남도",26
"2022.1/4","경상북도",72
"2022.1/4","경상남도",92
"2022.1/4","제주특별자치도",34
"2022.2/4","계",2111
"2022.2/4","서울특별시",454
"2022.2/4","부산광역시",137
"2022.2/4","대구광역시",115
"2022.2/4","인천광역시",139
"2022.2/4","광주광역시",41
"2022.2/4","대전광역시",58
"2022.2/4","울산광역시",32
"2022.2/4","세종특별자치시",22
